,sentiment,preprocess
15106,happiness,ok guy turn laptop pack tweet guy road bbl
15107,neutral,wish roommat come home soon mayb nap wast time
15108,sadness,ooc thank ugh bad bad day damn
15109,fun,giesal dayyyyyi join meee
15110,relief,say busi ive sold rl money got back photoshop
15111,surprise,crutch
15112,worry,nevermind kept read see r gon na williamsburg mind busi lol
15113,hate,worst headach ever histori worst headach today hate
15114,worry,oh sorri kitti right check lose lot weight last wk good
15115,neutral,knooow sail
15116,neutral,ahh naa dont like rain nm realli friend comin goin gran
15117,worry,head home rain pool today guess hit treadmil instead
15118,happiness,hope enjoy money look real good right
15119,worry,boo thought list meant would good go look like get cf adapt dslr
15120,worry,drop cemetari
15121,worry,evid smaller one keep look got keen thing though
15122,worry,bum see ltj june hope uk yoke soon
15123,sadness,bang bloodi foot ow
15124,worry,bummer
15125,sadness,omg tink cume bckkk
15126,neutral,know send anna let think bit find way
15127,worry,tri go back polic block whole neighborhood evacu build
15128,neutral,wow spam realli everyth cover almost peni enlarg stuff
15129,fun,teenag need encourag
15130,sadness,hahaha miss bradddd guy keith
15131,happiness,thank kashi think day mad disservic take ur class
15132,neutral,one cant see mayb twitter link someth
15133,neutral,pay therapi dk
15134,sadness,nope bore hungri
15135,neutral,coco still
15136,worry,yay cousin come stress big recit tomorrow tri practic cant rememb
15137,worry,fuck life
15138,surprise,hell ross hugh lauri suppos tonight show
15139,worry,oh sorri wuv piec
15140,worry,googl wave next keep way commun peopl happen good old fashion letter write
15141,neutral,fill good two appoint go
15142,fun,play tomorrow
15143,neutral,lucki park mayb short period realli stuff done until wed
15144,neutral,ohhh darn forgot phonecal make sinc monday great close
15145,worry,still job dead right
15146,relief,made leadership buttt still happi enjoy without best friend
15147,hate,oui mademoisel bare turn around day without bump
15148,worry,cri cuz peopl wont follow
15149,sadness,boo miss age get internet back tri fix alo haha like act time time
15150,sadness,realli weird night last night miss friend
15151,worry,good day jetson come right finltston miss today tho
15152,worry,mel shud hous
15153,happiness,judg answer fid duti tort lawyer r good like oj trial done
15154,neutral,last two know go weepi
15155,sadness,headach
15156,worry,go sleep tomorrow exam review
15157,happiness,excel suzaku back togeth woop last episod hope happi sucker realli lol shh
15158,hate,stick work freakin madd suck work day
15159,worry,hate weather ugh
15160,sadness,omfg favourit jerk chicken place close
15161,worry,live nobodi
15162,surprise,eff jk probabl make philli
15163,hate,radiat boil
15164,relief,busi entir week abl breath next tuesday
15165,worry,want scream damn phot load guess default
15166,worry,drink lemsip caus apaent need ittt sick
15167,worry,got beath suit order victoia secret exchang bottom wait anoth week
15168,sadness,wish sun would guess matter sinc work enjoy anyway
15169,worry,well suck good way make feel bad
15170,fun,miley heard never prom would invit knew could arrang anoth x
15171,worry,love twin lol
15172,worry,recent gain highli sad feel say goodby someon see ever even bare know
15173,hate,anyday hate live
15174,neutral,go see go mom brother
15175,sadness,use breath soccer live soccer hurt knee badli sad day pass link around
15176,sadness,relaps mom dad need jesu fuck christ stay away
15177,worry,figur listen internet
15178,worry,watch gh feel bad carli omg fuck
15179,sadness,believ leav place tomorrow
15180,love,wowzer thank bang bang miss danc floor
15181,worry,mattress armada need play show soon go serious sad
15182,hate,peopl pisss offf ugh
15183,sadness,dont see dont see better question lol need chang mister sad
15184,worry,rat creativ vado stock walmart late
15185,neutral,offic bldg sell move anoth smaller lose gym
15186,sadness,sad
15187,anger,talk obsess right
15188,fun,poooooooor sheeeep
15189,relief,yet couldnt get wasnt allow pass carpet premier still wit
15190,empty,haha ye jealou money
15191,worry,happen phone
15192,worry,oh god sooooooooo sick help
15193,sadness,think gon na abl go see jb concert wrong time close
15194,neutral,friend went bf someth read
15195,worry,got lion hoodi mine still week away number
15196,sadness,realli shish kebab go settl toast
15197,worry,funni wont jump
15198,relief,uncl come
15199,relief,got done first day work exsaust sweati chalki
15200,neutral,word funer day
15201,empty,ground comput suck
15202,hate,herniat disc suck stuck mostli back could ride
15203,worry,greg pritchard rob gut word
15204,boredom,wrong dr phil shame love show abl watch
15205,worry,ando pelon
15206,sadness,accord bow wow best friend chri twitter hater probabl
15207,empty,mitchel pant fell get ga miss
15208,worry,ouchi sorri hear go get check
15209,worry,heart isnt cold still miss
15210,worry,know feel darian bam miss terribl see sunday
15211,neutral,would watch home
15212,worry,sux mom total numb finger well ever sinc surgeri hip replac sucki
15213,worry,listen ryan adam sick
15214,neutral,wait line get ga degre today
15215,worry,shouldnt reset work right first time someth
15216,surprise,quit upset realli look must thought someth whatt that unfair
15217,sadness,sadli know lot women like song
15218,sadness,duncan final got order leav iraq septemb open invit stay anytim year gone
15219,sadness,jealou go ny
15220,happiness,come seen excit hope get love interest soon tell
15221,love,realli fanci frappuccino starbuck right
15222,neutral,much work
15223,sadness,feel lone
15224,neutral,exam commmmmiinnnnnggggggg
15225,love,love much better call
15226,worry,stu actual severli sunburnt hurt
15227,sadness,mean spend time alon friend famili sad
15228,neutral,go chick fila
15229,sadness,matrix onlin shut next month wow feel kinda sad
15230,sadness,alreadi miss dunham
15231,sadness,idiot famili feel mix amongst stuff
15232,sadness,
15233,surprise,wtf wtf wtf dont share video time
15234,sadness,bad friend sorri hear
15235,enthusiasm,gig awesom exahaust dont revis boo hoo
15236,neutral,miss
15237,worry,tri babi soda addict problem quit still sad crave though
15238,worry,wan na leav work alreadi feelin day
15239,worry,sowwi lover
15240,neutral,rain md
15241,sadness,miss best friend commm back kayla go littl
15242,neutral,ipod die today
15243,love,metsi fan boo hoo
15244,surprise,woke dream new email sadli dream
15245,sadness,pray pressur brain subsid brain seizur stop amp tumor go comfort still niggl cough
15246,neutral,duti student union punter us member public
15247,worry,realli realli realli dont go work th shift week start sunday
15248,love,thank warm welcom make plan arriv time air
15249,love,sorri havent ate breakfast yet ima go eat lololol pc die bbl love
15250,sadness,feel like watch disney movi bad dont vcr anymor
15251,neutral,sound like fun
15252,sadness,ps bgt fab sad thought greg awesom sad gone child alway win situat sadli
15253,love,love coupl day friend wolverhampton least weather improv last day today call tomorrow
15254,worry,back soooooo hurt
15255,fun,footbal sun own
15256,worry,recov bad fall lunch great start weekend
15257,surprise,custom told gf ran today sad
15258,surprise,lmao saw sound hella good hair appt
15259,worry,big brother day mean constant live tripe scrub fall asleep happi
15260,sadness,poor dear fellow busti maven gym belong peac
15261,worry,lmoa quit much stress
15262,worry,hope go quickli possibl
15263,sadness,found giveaway wish would known sooner happen unclaim citi
15264,sadness,oh sorri even imagin although know realiti soon
15265,sadness,awww mish ladi what good
15266,neutral,put craigslist quebec tan salad plate bird draw area time still need got tuesday
15267,sadness,alon still watch tww eat italian chocol solv logic puzzl
15268,worry,still hospit unexpect complic
15269,worry,btw think may miss flight sasha gon na upset traffic horriff pull guy
15270,empty,mayb go run run shoe
15271,neutral,peep boyfriend miami
15272,worry,afraid comment mp expens hopelessli touch averag person averag salari insensit
15273,worry,feet realli hurt
15274,neutral,earli phonograph industri done rest apm revis berri green rabbit ribena compani
15275,love,oh right aww yeh well load love youuu x
15276,worry,cba ohwel might play anoth innabit
15277,worry,awe miss much quot vacat quot last like six month miss
15278,surprise,doggon got hour nap realli ponderosa chicken wing
15279,worry,drop new mobil loo finger cross work still mth left contract
15280,worry,keep tri talk australia think jet lag far work still go
15281,worry,quickli peopl arriv peopl gone still hungri must find food
15282,fun,stuf ive eat junk day
15283,worry,poor winston go run
15284,hate,car warm sprite tast like sore throat
15285,worry,home sweet home carri underwood make sadd
15286,fun,first thought bar life meant parti nonstop catch last year lol shoulda known better
15287,worry,nervou go tomorrow co first time sinc daughter born help
15288,enthusiasm,would fun soooo tire yesterday long day offic dinner crash
15289,worry,
15290,worry,urban outfitt taunt amaz cloth way expens
15291,worry,got stung bug first time littl finger slightli swollen
15292,sadness,mid shift aw count time
15293,sadness,go mad got sent offic class realli bad hear sorri
15294,worry,realli tire jake alway give work
15295,worry,head hurt bad
15296,sadness,paper work friday afternoo
15297,neutral,whoa alcohol get buzz price
15298,worry,head home charli vet
15299,enthusiasm,first aid shift start excit kinda die wish could often
15300,love,wish someon enjoy drink outsid beauti even need live closer
15301,happiness,realli call wow realiti check day lol
15302,neutral,left home
15303,neutral,yet anoth semi final tonight
15304,empty,bew wont summer
15305,hate,want go falkland cant caus stupid exam mtbcut go
15306,love,daddi
15307,neutral,saw blink show tmobil parti speachless
15308,neutral,marisa mauro go use banana dildo srsli peopl arsehol
15309,neutral,wish could
15310,neutral,wish watch jon amp kate plu monday
15311,worry,would home
15312,worry,think may frozen butter accid
15313,worry,great time beer garden wit boyo think sun got bit though feel bit
15314,hate,big moth wasp insect gener haha hate
15315,neutral,frosti
15316,empty,friday night home parti weekend
15317,neutral,lol
15318,worry,sad statu liberti complet reopen week nyc trip
15319,neutral,matter jealou
15320,neutral,turn fast food whore
15321,neutral,leav wildwood tomorrow luke say back soon
15322,worry,stop cough
15323,worry,stupid homework wast time
15324,neutral,lol alway friend havent got yet busi next weekend dunno get
15325,relief,sooo tire busi tweet glad weekend yay day weekend
15326,happiness,oh joy gong long weekebd yipe
15327,worry,certainli know feel wesley sleep go get someth eat account
15328,worry,happen miss hour updat
15329,worry,marle doc appoint poor babygirl get shot
15330,worry,sore head hope girl ok
15331,relief,go home caus present end x
15332,neutral,shud reali go bed proper tire bt cnt b boverd x
15333,surprise,yeah wtf noggin either
15334,enthusiasm,need repres blackberri
15335,neutral,would like abl go
15336,hate,ugh infam xbox fuck lame ps
15337,sadness,go movi today
15338,sadness,mile essex give plenti warn arriv time get least free beer
15339,sadness,bit dump today aw day mayb good time write song
15340,surprise,fun go anoth park invit lol
15341,neutral,follow
15342,love,awh great time outdoor today got rain shut oh well tomorrow anoth day hope
15343,neutral,aww thunder lightn amp pour rain
15344,fun,sure walk around barn nobl comfort much well work
15345,neutral,yeah although probabl bgt bugger
15346,sadness,rosi day today goal leav hous b mom get hmmm mayb rosi day reschedul wed
15347,neutral,hi erin dm send r follow twit prevent
15348,sadness,got smash th grader thow footbal twice bleed
15349,worry,nearli ran pheasant drive lesson baw
15350,neutral,spellingi aw twiiter
15351,sadness,lulu put scottish accent britain got talent make sad scottish coz falcon dont play accent
15352,sadness,everyth know explain simpli patet
15353,love,good glad got talk walk lol becki amp holcomb lol
15354,neutral,hmmm go sleep saturday work watch episod tree hill tree hill think
15355,worry,oww bit tongu
15356,neutral,dont plan go home watch game plu still work earli cant parti late
15357,worry,anyon els problem access account info istor cant buy music cant look account
15358,worry,uncontrol hic up right hurt
15359,boredom,beast enough
15360,worry,uhum tri unlik pretti women look
15361,worry,hour later still drunk drive shame let drink much peak spirit right
15362,worry,okay hook hand kinda freak right
15363,worry,sick girl tri shake thing luck miss long time
15364,boredom,mikey bore
15365,hate,hope sleep tomorrow guess happen stupid blood test grrr
15366,sadness,bum even testimoni flickr
15367,worry,lower left molar sting whenev come contact sugar sort
15368,sadness,oh god feel like shit
15369,surprise,blond slowli sure blond wana scratch hair allow
15370,sadness,everyth sooo mess life suck
15371,love,love copti quot peep show quot eilleen give back pleas help miss fb
15372,worry,still unfortun
15373,worry,feel sick solo tonight vocal jazz concert great
15374,worry,got headach
15375,anger,yer poor littl cock well doesnt deserv stick everyon cowel go produc
15376,sadness,chat sinc go school
15377,happiness,feel like bright new shirt wish
15378,empty,aah tire chill minut today
15379,sadness,sad miss guy last night
15380,worry,uh oh sunburn
15381,fun,know feel empti lolll cheesi true
15382,hate,your kawawa make kawawa cuz hate see kawawa ohhhhh lt
15383,worry,get job berri line
15384,sadness,drove nbc burbank lot line leno wrap around build longest ever seen leno last show
15385,surprise,think iv hurt tooth eilish cassi draw competiton draw cooki pineappl haha
15386,sadness,follow random spammer
15387,sadness,theyr sappin mah sentri errr yea without power home right
15388,worry,work hour saturday sunday atleast phone keep compani
15389,empty,downhil labor day
15390,love,creativ vado stock walmart miss thank tweet
15391,sadness,holli steel bgt absolut excruci watch poor girl
15392,neutral,tube close th th june idea get venu
15393,happiness,actual got bit tan today haha sadli work weekend get chanc enjoy gloriou sunray boo
15394,relief,told peopl indiana batshit live feel like escap orwel book everyday
15395,sadness,sad see deb two day
15396,worry,hey quot cameron quot know amaz sunburn mum happi amp throat kill still lt
15397,worry,hope make bank close ahhh traffic go back work
15398,sadness,ur move leed wut work ur jetsett wan na move england
15399,neutral,think bout life need bed fianc bed first
15400,neutral,know told tell last tweet get play music set play
15401,hate,suck
15402,love,wish go
15403,worry,feet hurt
15404,happiness,horribl thought go back work monday good thought work minut life good
15405,sadness,go home
15406,surprise,wow difficult
15407,worry,law chang could realli push bcaus gran bathgat us citizen b dad born
15408,happiness,good stuff smile back go concert wish could instead work music fail lol x
15409,happiness,hahah realli guy said look dont look young
15410,sadness,aw well sorri like juli reason
15411,sadness,sad greg pritchard didnt make final britain got talent coz soooo deserv
15412,love,hotel uk free wifi mega expens usual hard wire love use wifi state
15413,empty,omgod soooo tire think energi film today lol
15414,surprise,sob believ end work week chapter augusten burrough father erni guinea pig
15415,sadness,thought cav would crush magic home north realiz wrong
15416,worry,feel like work th street gym
15417,sadness,lost favorit thing love alway stori year key chain
15418,worry,heyi delet myspac account caus link side bar wont work say delet wb ili xxx
15419,love,bless know feel well
15420,sadness,sad news week hospit uncl past away today r p uncl toni
15421,neutral,get post post topic
15422,neutral,nto look forward visit unc hospit tomorrow
15423,worry,subhana allah got scare told start anxieti
15424,fun,lol knew better better wouldnt wear ugg shoe weather awww rip stack b
15425,sadness,woof wish allow go
15426,happiness,whatev workweek time go play new phone sim card transfer contact list
15427,sadness,well school final idk sad miss teacher goodby mr r mr collist
15428,worry,feel realli sick eat form chicken restaur make grill chicken sooo greasi
15429,neutral,feel tierd much colleg work
15430,neutral,back work go
15431,surprise,strang char limit tweet ustream geogeektv live gt
15432,neutral,
15433,worry,cockermouth tomorrow morn jesu christ sleep
15434,worry,sing store work
15435,sadness,wish could go love music hate racism gig weekend right part world even
15436,sadness,readi weekend sad offic tomorrow morn
15437,sadness,oh dear back request get drunk fizz def regret next day sure fire hangov
15438,fun,go bff haha that like hourssss sooooo calllll actual darn hw
15439,sadness,dont get car back monday boooo
15440,worry,dad joe nugent drank nearli ice tea bit left quit mif tbh
15441,neutral,got email tell could got monday flight sfo cheaper amp class book tomorrow
15442,sadness,hurt feet
15443,surprise,wh wha hacki sack plan san jacki
15444,hate,sigh exam aint wer neaaarr finish next week stressd aint b bak june
15445,worry,see peopl today made realiz realli miss someon miss grandpa gone year oh mom mamagra
15446,happiness,noth stay home
15447,worry,feel hot hot hot honestli us scot use sun minut get fri x
15448,sadness,cramp
15449,relief,let right apar drag hell horribl nasti
15450,surprise,get closer log left hand swollen wear wed ring keep forget worri lost
15451,neutral,tri put iron book bag burnt bag iron lol buzz keep make fun bastard lol
15452,love,watch rain reminisc time everytim rain love life
15453,sadness,fell ef arm today back drive
15454,fun,tri someth funni twitter fail
15455,sadness,fml ughhhhhhhhh go anwher today bedroom share mother cri
15456,worry,ah allergi must sleep walk work
15457,hate,may cri damn weather got ass burnt nt liter ju shin arm chest leg hurt lyk biatch slightli enjoy tho
15458,neutral,ok guess time throw towel head work
15459,worry,anyth
15460,hate,got follow yep spam damn twitter traffic machin
15461,sadness,realli go maker fair tomorrow sick makerfair
15462,hate,suck big time sheffield sunday think pretend happi smiley anymor
15463,worry,would like make comment password medium
15464,worry,traumat moment childhood dog massacr babi bunni brother got bb gun
15465,empty,aww kk need huge shop trip joshstor get joshmobil pft
15466,worry,didnt even finish clean room cuz went parti ahhhh still messi
15467,neutral,ff plz follow follow starbuck tag amp friend ironchef drop
15468,sadness,wish babe
15469,worry,give haiku statu inspir michel yuen sun shine perfect day gloriou day outsid offic
15470,surprise,nice day gon na stuck insid night
15471,worry,babi
15472,worry,alcohol toncilitu alcohol cancel
15473,sadness,bgt made cri tonight
15474,sadness,fail shit lol
15475,empty,primavera barcelona spain sure ruth lorenzo must right btw jarvi walk stick
15476,hate,use temporari mous sinc trackbal break feel rsi crawl wrist alreadi
15477,sadness,fix guess write get bore watch tv lame
15478,neutral,lol well make sure websit work ie region even ie adsens preview tool ie reason
15479,hate,saw slater mtv show think wan na danc slater crap like kelli kapowski
15480,happiness,thank much everyth sorri hurt
15481,sadness,minut go day weekend lead birthday tuesday work birthday
15482,enthusiasm,wish disneyland watch star trek like peopl swear must sap work friday
15483,worry,stope broadcast blogtv coz left came way xd
15484,surprise,way malaysia internet access twit
15485,sadness,horror movi obsess esp campi film troma wish work tomorrow
15486,happiness,haha girl give beer lol xd
15487,neutral,best vanilla memori sharffenberg factori gift shop sure get
15488,happiness,wonder thomasvanvliet mayb help inherit withdraw
15489,worry,today inspir photographi day photographi
15490,love,hey gal pal phoenix
15491,boredom,dead stop express lane would happen choos way ugh hope get move
15492,neutral,right use snuggi snuggi stay work
15493,sadness,aint ur ff list hurt
15494,sadness,probabl bed depend aid today
15495,surprise,get rain devon hors show head desk
15496,worry,would appear note self chang perfum hmm get tarot card
15497,fun,honourari fluffett love hair left
15498,sadness,miss everyon need face witti situat updat
15499,neutral,clear whole offic sign next place truck yet fulli clean back seat lol
15500,neutral,chair
15501,worry,peopl idea depress steakhous abl eat
15502,sadness,left cali morn dalla miss car much
15503,neutral,scream siren three fire truck go south bound highway get home
15504,worry,graduat ceremoni start realli wish could
15505,hate,bitch arggghhhhhhhhhhh
15506,anger,shower pm tripl crap turn
15507,worry,someon key car
15508,love,need freak adventur
15509,neutral,sacramento nice weather sacramento dri hot weather hear rain
15510,neutral,would appear note self chang perfum hmm get tarot card
15511,hate,day fkn ugli amp match mood unfortunatli time blast moon
15512,neutral,lil old mac thing never charg
15513,worry,sad broke super awesom giant paper clip use itali note
15514,worry,need read fic lost
15515,empty,credit must work playlist
15516,love,vote hope vote white blank mr twitter funniset
15517,empty,awww trini esata bien bendito bad cant fli make feel better
15518,love,thank realli appreci know hardest thing ever done
15519,worry,mark roommat never made empanada
15520,worry,sorri weather hope hour wx delay bwi
15521,happiness,got back work feel pretti good work
15522,sadness,sad miss grandma angi alway like rd grandma
15523,neutral,www fail work
15524,worry,got realli sad wen holli start cri bless
15525,happiness,last day holyday got ta get back work anyway great week
15526,neutral,back head
15527,surprise,good stuff smile back go concert wish could instead music fail lol x
15528,neutral,goin dinner
15529,sadness,anoth day find end tri anoth cart rememb sigh
15530,worry,longer work swiss chalet
15531,worry,weekend go pack full work school life summer afraid
15532,surprise,bee stung eye sorri
15533,worry,except drop break got ding side least screen
15534,neutral,finish clean bathroom smell like clorox
15535,happiness,wish warp tour came london canada
15536,hate,damn warm stay back garden protect doggi bastard next
15537,fun,think littl youtub cool prayer dad admit hosp sure problem yet mayb heart
15538,sadness,haha yeh lol mayb miss last roadshow caus rain
15539,worry,cant believ alreadi friday omg done
15540,sadness,hello aint tweetin day cuz switch thing new place exhaust sick
15541,surprise,dont understand
15542,worry,oh mrw yea b mayb next time
15543,worry,go actual read least sign fair
15544,worry,frown us googl alcohol work
15545,hate,nsti ppl make fun someon amp laugh ass see ur laugh shoud hint wrong
15546,empty,got game ps wait usual still stuff yet
15547,sadness,ahhhh
15548,neutral,rock sock sorri go bfe maryland
15549,worry,biggest headach ever photosensit get control help
15550,surprise,oh sorri know hope well x
15551,worry,miss nanni
15552,worry,miss doggi hammi turtl amp amp fish
15553,hate,oh garlic juic nooooooo that disgust grrrr
15554,sadness,ouch head hurt
15555,worry,still high fever
15556,neutral,sorri make good luck next time though
15557,neutral,singl person post tweet day hard cope android phone unabl filter
15558,neutral,like buck shot kind camera
15559,sadness,god look stumpi share toe tonight
15560,neutral,tryin figur direct messag gettin frustrat
15561,worry,kind miss certain someon alreadi never get see
15562,neutral,room smh
15563,worry,drop mum station miss mum
15564,neutral,thing parent best friend
15565,worry,wish could give biggest hug right sorri imagin pain must
15566,worry,realli look like gay guy dark hair sleev bgt dreambear
15567,sadness,hah eeee although understand need new pictur thing sweati
15568,surprise,ignor gah
15569,neutral,work think thing work
15570,love,greenvil weekend best friend birthday leav way later want
15571,neutral,mark roommat never made wonton
15572,hate,way feel safe final jail stalker ass belong
15573,neutral,nope neither ladi today
15574,worry,would never innoc individu plu realli unsanitari
15575,sadness,aaarrrgh sooo see msg august dammit decent seat expens booooooo recess
15576,sadness,alway blunt feel never seem good
15577,worry,oh noooo dont cri see talk kri text see say poop idk
15578,worry,wtf facebook spam say dad secret admir
15579,relief,way get maggi moo peanut butter galaxi home thank god week done meet day
15580,worry,what wrong sweet laptop
15581,sadness,strain muscl lower back today amp amp hurt hurt run weekend
15582,neutral,suck put britney
15583,sadness,sad duck day
15584,neutral,lucki lucki friend nickleback concert atm wish
15585,sadness,wait red could age know mean though realli look new job
15586,hate,mani tribe r becom extinct blame mc donald
15587,neutral,even repli old tomorrow
15588,boredom,buuuut annoy okay breath x
15589,love,hug
15590,worry,get realli spotti spot alway scar pick even dont scar fact skin suck
15591,sadness,need botox work lip go chang angelina joli thought sad though racism
15592,neutral,walk work think sit bellagio time wednesday
15593,worry,alway make bad decis
15594,worry,gettin readi put show ugh realli hope ppl dont come
15595,sadness,nooooo rain leav beach
15596,relief,final got lil monster hand could run errand got ta rain
15597,worry,sad hear shave realli like beard feel like minor
15598,love,gf home coupl minut yay see tomorrow morn tweepl gon na monday
15599,worry,tweet riot download tweet geniu devic
15600,happiness,play bit pool buddi go bed work tomorrow
15601,worry,amhzz get invit miss
15602,relief,alway get hope soon soooo close
15603,surprise,call retro dear wear fifti fashion sometim see birthday pictur
15604,neutral,noth
15605,worry,feel well today
15606,neutral,make manag switch schedul close
15607,neutral,hey what librari right comp sign
15608,neutral,wasnt sad good
15609,surprise,omg believ jay leno go air
15610,worry,oh rain seatbelt buckl thank bate wish blow flip burn
15611,enthusiasm,nooooo someth immedi leav week
15612,worry,tri pei wei close tri
15613,neutral,wait get back nambu stop work
15614,relief,hahaha wow thank bud p plan pretend costum wish cold could wear sweatshirt
15615,neutral,dunno see
15616,worry,omg havent twitter day go thru withdraw
15617,neutral,find extend one
15618,neutral,littl boy still work storm
15619,worry,hardwar store guy told screw would imposs remov sinc head complet gone get nd opinion
15620,neutral,wish still jam
15621,neutral,chale ver defin quot quot
15622,neutral,get invit miss
15623,surprise,boy go movi wish feel like shit
15624,sadness,day crappi cri
15625,neutral,brad olymp villag watch season rack adult hood
15626,worry,ahhhhhhhhh blew amp shred
15627,sadness,wish go root pinic
15628,sadness,buu get right plop close quot urban quot
15629,sadness,pleas hear still shame sometim hear
15630,fun,mayb day favorit produc list lol
15631,worry,skin burn much
15632,worry,got two third new moon three day eclips work assign sadli dnt write selv
15633,sadness,bad
15634,worry,actual suppos w dad cousin cousin troubl though never get togeth
15635,sadness,darn go whole weekend without
15636,surprise,jump train visit rescu mom total forgot sweatshirt forgot bring make first time ever forget
15637,worry,join game privat beta
15638,neutral,kati
15639,surprise,omg believ jay leno go air hate conan brian
15640,sadness,omg today felt like last day school horribl
15641,neutral,would like hug kiss eric long distanc realli realli stink
15642,sadness,problem dude get better soon cold well bleh
15643,neutral,watch hmmm
15644,sadness,hair cut mom wont cut
15645,hate,damn hate weather shit suck want go tonight mess like
15646,hate,kinda hope time go differnt suck
15647,worry,ditchin barfin sorri guy esotsm
15648,worry,hot room wan na go swim
15649,empty,ugh kinda bore
15650,neutral,go work soon
15651,sadness,like cheesecak browni miss cheesecak browni walmart closest
15652,neutral,greenvil last time move md soon back eastern carolina
15653,relief,head home foot surgeri wish boyfriend cuddl
15654,hate,btw ian watkin stop follow wee bit piss
15655,worry,ajax php think concept autorefresh made mistak
15656,enthusiasm,greg pritchard got threw final britain got talent
15657,empty,park rain
15658,worry,yay jack downer rememb friday mean work tomorrow
15659,sadness,hell follow friday get
15660,worry,mini order delay call add tv tuner
15661,sadness,ugh feet feel like go fall
15662,worry,suppos go boat songwrit cape cod cold raini
15663,worry,omg cant eat everyth eat hurt stomach come right
15664,worry,sure understand twitter thing work
15665,neutral,sorrryy went cinema broth caus cool yeah sorrrri tomorrow tho make sure
15666,sadness,suck thunder get readi shut
15667,worry,flew washington calfornia still gon na meet amp greet tomorrow
15668,sadness,tire respons wish kid seem everyon around money anymor
15669,empty,tire heck wan na go home sleep cant caus wash daddi get work
15670,neutral,new tattoo design check placement idea
15671,surprise,sent abram surround weather
15672,worry,anyway shit longer mind blow
15673,hate,dare apolog uk gone apolog america never tour
15674,worry,soooooooo hungri right dh still home
15675,neutral,got sniffl got kid hubbi left work sydney weekend boo hoo
15676,relief,hell hair fall constantli
15677,worry,soo tire feel worn go sleep got ta go back
15678,sadness,tooo wish could get
15679,sadness,need friend right feel like mmmm sosad
15680,sadness,set chuck bass new york palac bad film today
15681,love,lucki see tonight
15682,enthusiasm,heyyyyyyyyyyyyy divshit phone play soft ars xx
15683,sadness,ntah realli wan na
15684,neutral,head home long week wish someon onther market would follow
15685,worry,total agre even good judg said wither said make feel better
15686,neutral,art parti crazi artist bit padestrian skank
15687,surprise,dinner smell good hungri sunni outsid wish wonderland
15688,neutral,want dippin dot
15689,fun,meee tooooooo bad bore eat lol
15690,sadness,dude feel realli bad work serial use
15691,neutral,lmfaaoooo watch pink video know well love soooo lol
15692,sadness,thank bryan remind state budget issu actual steve staffer offic
15693,happiness,sound like town
15694,worry,headach larg headach littl dizzi feel yucki
15695,enthusiasm,watch edit old grey whistl test fanni mama papa amp isaac hay make show like anymor
15696,happiness,aww today good like
15697,sadness,awww kany west shame doesnt get joke
15698,neutral,cant chang profil pictur facebook
15699,worry,aww hope find soon miss cnt even use w memori full plu wan na commin weekend
15700,enthusiasm,anoth shake rita badli
15701,worry,love love twitter hey go xbiz vega
15702,neutral,start stupid chore stupid chore
15703,sadness,wan na go car
15704,boredom,go meet tim entiiiiir famili hour differ finish get readi wake feel like shit still
15705,worry,right peep hope fix twitter mobil tweet race twitter day fail
15706,hate,total forgot that friday read tweet feel dumb breath
15707,fun,hahahaha awww uduhn lun mor
15708,worry,omg mani final studi freak gona fail
15709,sadness,sunburnt arm burnt mouth skin come
15710,neutral,vega anniversari cant get enough jk
15711,worry,done goin home eat dindin contempl night hold
15712,sadness,same suck
15713,neutral,yea next week week sitter
15714,sadness,feel good happen today day go friend tonight
15715,worry,metro trader joe st close mani firemen cop wth happen walk home bu go ohh
15716,worry,disappoint lad think unfollow show love
15717,worry,brainfreez
15718,hate,bhaha teenag nightclub home suppos fuck licens touch
15719,worry,sorri pray
15720,neutral,thought summer hour meant suppos get go home
15721,sadness,sadli view site due region restrict
15722,worry,sound awesom wish could go way could afford fun
15723,neutral,wendi go wish
15724,hate,bustin chop bad never seen real appeal last fm bad qualiti audio crap artist
15725,neutral,talk
15726,sadness,hate
15727,neutral,rain
15728,sadness,miss
15729,happiness,kid stand room
15730,worry,never though situat like
15731,neutral,sure go
15732,boredom,ahhhhh process shipment sooooooo much
15733,surprise,come socket feel like phone hole virgin loos
15734,sadness,ye thank contact respons
15735,neutral,aww poor preciou
15736,worry,burst bubbl
15737,worry,awww eat sweeti
15738,sadness,sad friend everyday long ass time
15739,sadness,miss friend much
15740,happiness,alright day go well got home potato salad gone
15741,happiness,grape soda jack fower fault wish could see play uk gig sold pleas repli
15742,neutral,sat pub pretti quiet far prob leav bit work
15743,worry,sad brother bad day
15744,worry,oop unfollow everyon anywayz build twitter empir
15745,love,think piper molar cut thru nice lil nap girl anoth friday night home w lil one
15746,hate,hahahaha nahh sowwiee git shirt match dez sneakerz nd idk color aghhh lol
15747,sadness,pleeaaase sun
15748,empty,weekend yet
15749,happiness,wow realli need fun tonight
15750,happiness,time bed got learn tomorrow earli start night night good peopl xxx
15751,boredom,go crazi super head ach hell law sinc morn ahhhh
15752,happiness,today happi got got school earli bore
15753,sadness,film tv job especi wmid afford move away yet sorri miss
15754,sadness,damn sunburn hurt jack whitehal mmmmm
15755,neutral,sit take littl break tri recharg continu housework
15756,neutral,seem brought littl sikaflex caulk home hair
